Taxa,Sample_1,Sample_2
Acentrella,3,0
Ancylus,2,3
Baetix,11,1
Beraeamyia,0,4
Beraeidae,0,1
Caenis,2,166
Cheumatopsyche,0,1
Chironomidae,0,9
Chironominae,6,40
Cyphon,0,4
Electrogena,0,15
Elmis,0,1
Empididae,0,1
Esolus,61,177
Gyrinus,1,0
Habroleptoides,0,8
Habrophlebia,0,9
Holocentropus,0,8
Hydraena,1,0
Hydropsyche,5,2
Hydroptila,0,25
Hydroptilidae,0,1
Laccobius,0,5
Leuctra,2,21
Naididae,3,167
Nebrioporus,1,0
Onychogomphus,0,2
Orthocladiinae,5,128
Pomatinus,2,13
Rhithrogena,11,0
Serratella ignita,3,4
Setodes,0,1
Simuliidae,1,0
Tanypodinae,2,13
